Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,SA,SB,SC,SD,SE,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-05-26,23:13:56.020,-34,0,99,12,0,7,100,-27,99,12,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",3,-1021,-1,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:13:56.500,-32,0,96,12,0,7,100,-25,96,13,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",3,-1022,0,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,991,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:13:57.000,-32,0,97,12,0,7,100,-35,97,13,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",1,-1022,-1,2,-1019,1,-1,-1,-1,-1,0x0000000000000000,1524,1508,991,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:13:57.500,-35,0,98,12,0,7,100,-27,98,12,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",2,-1021,-1,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:13:58.000,-39,0,96,12,0,7,100,-30,96,12,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",2,-1022,-1,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,991,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:13:58.500,-39,0,98,12,0,7,100,-27,98,12,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",0,-1022,0,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,991,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:13:59.000,-34,0,96,12,0,7,100,-26,96,13,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",1,-1024,-1,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,992,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:13:59.500,-37,0,100,12,0,7,100,-28,100,12,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",2,-1021,-1,2,-1019,1,-1,-1,-1,-1,0x0000000000000000,1524,1508,992,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:14:00.000,-33,0,98,12,0,7,100,-24,98,12,,0.0,0.00,0,0,11.3,0.0,0,100,0.57,-0.08,-0.27,"WAIT*",2,-1021,0,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:14:00.500,-31,0,97,12,0,7,100,-26,97,12,,0.0,0.00,0,0,11.0,6.8,2,99,0.57,-0.08,-0.27,"WAIT*",0,-574,0,0,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,1215,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:14:01.000,-30,0,95,12,0,7,100,-22,95,12,,0.0,0.00,0,0,11.0,6.8,2,99,0.57,-0.08,-0.27,"WAIT*",2,-1022,0,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,991,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:14:01.500,-33,0,100,12,0,7,100,-25,100,12,,0.0,0.00,0,0,11.0,6.8,2,99,-0.36,-0.04,-0.40,"WAIT*",1,-1021,0,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,992,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:14:02.000,-33,0,100,12,0,7,100,-29,99,13,,0.0,0.00,0,0,11.0,6.8,2,99,-0.36,-0.04,-0.40,"WAIT*",0,-1021,-1,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:14:02.500,-35,0,99,12,0,7,100,-23,98,12,,0.0,0.00,0,0,11.0,6.8,2,99,-0.36,-0.04,-0.40,"STAB",2,-886,-1,0,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,1059,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:14:03.000,-33,0,100,12,0,7,100,-24,97,12,,0.0,0.00,0,0,11.0,6.8,2,99,-0.36,-0.04,-0.40,"STAB",2,-731,-2,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,1151,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:14:03.500,-33,0,99,12,0,7,100,-25,97,12,,0.0,0.00,0,0,11.0,6.8,2,99,-0.36,-0.04,-0.40,"STAB",0,-1024,-1,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,990,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
