Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,SA,SB,SC,SD,SE,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-05-26,23:26:03.290,-32,0,98,12,0,7,100,-22,100,12,,0.0,0.00,0,0,11.1,0.0,0,100,0.27,0.01,0.00,"WAIT*",1,-1020,-2,1,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:03.770,-33,0,100,12,0,7,100,-23,98,13,,0.0,0.00,0,0,11.1,0.0,0,100,0.27,0.01,0.00,"WAIT*",2,-1020,-1,2,-1021,1,-1,-1,-1,-1,0x0000000000000000,1524,1508,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:04.270,-30,0,100,12,0,7,100,-28,97,12,,0.0,0.00,0,0,11.1,0.0,0,100,0.27,0.01,0.00,"WAIT*",2,-1020,0,2,-1021,1,-1,-1,-1,1,0x0000000000000000,1524,1509,992,1500,2012,988,988,988,2012,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:04.770,-30,0,99,12,0,7,100,-21,93,12,,0.0,0.00,0,0,11.1,0.0,0,100,0.27,0.01,0.00,"WAIT*",2,-1018,0,1,-1019,1,-1,-1,-1,1,0x0000000000000000,1523,1509,993,1500,2012,988,988,988,2012,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:05.270,-30,0,99,12,0,7,100,-32,97,12,,0.0,0.00,0,0,11.1,0.2,0,100,0.27,0.01,0.00,"WAIT*",2,-1018,-2,1,-1019,1,-1,-1,-1,1,0x0000000000000000,1523,1508,993,1500,2012,988,988,988,2012,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:05.770,-33,0,99,12,0,7,100,-20,99,12,,0.0,0.00,0,0,11.1,0.2,0,100,0.27,0.01,0.00,"WAIT*",0,-1021,0,2,-1021,1,-1,-1,-1,1,0x0000000000000000,1524,1509,992,1500,2012,988,988,988,2012,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:06.270,-30,0,99,12,0,7,100,-21,99,13,,0.0,0.00,0,0,11.1,0.2,0,100,0.10,0.01,0.02,"WAIT*",2,-1017,-1,-1,-1021,1,-1,-1,-1,1,0x0000000000000000,1522,1508,994,1500,2012,988,988,988,2012,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:06.770,-30,0,97,13,0,7,100,-19,97,13,,0.0,0.00,0,0,11.1,0.2,0,100,0.10,0.01,0.02,"WAIT*",2,-1020,0,0,-1021,1,-1,-1,-1,1,0x0000000000000000,1523,1509,992,1500,2012,988,988,988,2012,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:07.270,-31,0,100,12,0,7,100,-20,100,12,,0.0,0.00,0,0,11.1,0.2,0,100,0.10,0.01,0.02,"AIR",1,-1020,1,1,-1019,1,-1,-1,-1,1,0x0000000000000000,1523,1509,992,1500,2012,988,988,988,2012,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
2025-05-26,23:26:07.770,-32,0,97,12,0,7,100,-22,97,13,,0.0,0.00,0,0,11.1,0.2,0,100,0.10,0.01,0.02,"AIR",0,-1018,-1,1,-1019,1,-1,-1,-1,1,0x0000000000000000,1523,1508,993,1500,2012,988,988,988,2012,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.0
