Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,SA,SB,SC,SD,SE,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-05-26,22:08:56.480,-28,0,97,12,0,7,100,-23,97,13,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",2,-1021,2,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1521,1510,990,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:08:56.970,-21,0,97,12,0,7,100,-13,98,13,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",2,-1020,1,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1521,1509,990,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:08:57.470,-16,0,93,13,0,7,100,-12,93,13,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",2,-1021,-1,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1521,1508,990,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:08:57.970,-16,0,98,12,0,7,100,-12,98,13,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",2,-1021,0,2,-1017,1,-1,-1,-1,-1,0x0000000000000000,1522,1509,990,1500,2012,988,988,988,988,992,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:08:58.470,-22,0,96,12,0,7,100,-20,96,13,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",2,-1022,1,3,-1019,1,-1,-1,-1,-1,0x0000000000000000,1522,1509,989,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:08:58.970,-28,0,97,12,0,7,100,-20,97,13,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",2,-1021,0,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1521,1509,990,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:08:59.470,-29,0,97,12,0,7,100,-27,97,12,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",2,-1022,1,2,-1017,1,-1,-1,-1,-1,0x0000000000000000,1522,1509,989,1500,2012,988,988,988,988,992,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:08:59.970,-25,0,96,12,0,7,100,-24,96,12,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",3,-1022,-1,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1521,1508,989,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:09:00.470,-25,0,96,12,0,7,100,-23,100,12,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",2,-1021,0,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1521,1509,990,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2025-05-26,22:09:00.970,-25,0,100,12,0,7,100,-20,99,12,,0.0,0.00,0,0,11.8,0.0,0,100,0.26,0.01,0.00,"WAIT*",3,-1021,2,0,-1017,1,-1,-1,-1,-1,0x0000000000000000,1521,1510,990,1500,2012,988,988,988,988,992,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
